age;lives
0;1000000
1;999645
2;999420
3;999225
4;999045
5;998874
6;998708
7;998547
8;998386
9;998224
10;998057
11;997878
12;997680
13;997457
14;997202
15;996913
16;996590
17;996237
18;995858
19;995459
20;995047
21;994626
22;994201
23;993774
24;993346
25;992918
26;992488
27;992054
28;991613
29;991161
30;990696
31;990212
32;989706
33;989172
34;988607
35;988005
36;987360
37;986668
38;985922
39;985116
40;984244
41;983299
42;982273
43;981157
44;979944
45;978622
46;977183
47;975614
48;973903
49;972037
50;970000
51;967778
52;965353
53;962706
54;959818
55;956665
56;953224
57;949469
58;945373
59;940904
60;936032
61;930720
62;924932
63;918627
64;911763
65;904295
66;896175
67;887352
68;877773
69;867381
70;856119
71;843927
72;830744
73;816509
74;801160
75;784637
76;766882
77;747839
78;727461
79;705706
80;682542
81;657949
82;631924
83;604480
84;575655
85;545509
86;514135
87;481651
88;448217
89;414028
90;379317
91;344358
92;309463
93;274973
94;241260
95;208711
96;177717
97;148660
98;121888
99;97702
100;76333
101;57923
102;42512
103;30029
104;20295
105;13030
106;7876
107;4435
108;2293
109;1070
110;440
111;153
112;40
113;7
114;1
115;0
