age;lives
0;1000000
1;999629
2;999387
3;999174
4;998975
5;998784
6;998597
7;998411
8;998224
9;998035
10;997839
11;997631
12;997399
13;997129
14;996807
15;996414
16;995940
17;995374
18;994716
19;993968
20;993140
21;992244
22;991295
23;990306
24;989291
25;988262
26;987227
27;986192
28;985161
29;984133
30;983108
31;982081
32;981047
33;979998
34;978927
35;977824
36;976680
37;975485
38;974227
39;972895
40;971477
41;969960
42;968331
43;966577
44;964682
45;962631
46;960406
47;957991
48;955366
49;952510
50;949402
51;946018
52;942332
53;938318
54;933946
55;929185
56;924002
57;918360
58;912222
59;905546
60;898289
61;890406
62;881849
63;872567
64;862507
65;851616
66;839837
67;827112
68;813386
69;798599
70;782696
71;765623
72;747329
73;727770
74;706910
75;684719
76;661179
77;636289
78;610060
79;582527
80;553743
81;523789
82;492774
83;460838
84;428153
85;394926
86;361397
87;327838
88;294548
89;261850
90;230081
91;199579
92;170679
93;143691
94;118893
95;96508
96;76695
97;59534
98;45026
99;33083
100;23537
101;16156
102;10654
103;6719
104;3989
105;2200
106;1110
107;504
108;201
109;68
110;19
111;4
112;1
113;0
